SOrg,Plnt,Name_1,SLoc,Description,Material,Material_Description,Profl,Serial_Number,PP,Equipment,Pstng_Date,Total,Serials,BUn,key_plant,key_material
8750,8790,Hilti TS Plant,8723,8790-8723,337035,Diamond cutter DC 180-S 230V,Z001,5675,1,300024340388,2008-06-12,0,10,PC,8790/337035,8750/337035
8750,8790,Hilti TS Plant,8723,8790-8723,337035,Diamond cutter DC 180-S 230V,Z001,5574,1,300024340387,2008-06-12,0,10,PC,8790/337035,8750/337035
8750,8790,Hilti TS Plant,8723,8790-8723,337035,Diamond cutter DC 180-S 230V,Z001,3958,1,300024340386,2008-06-12,0,10,PC,8790/337035,8750/337035
8750,8790,Hilti TS Plant,8723,8790-8723,337035,Diamond cutter DC 180-S 230V,Z001,3857,1,300024340385,2008-06-12,0,10,PC,8790/337035,8750/337035
8750,8790,Hilti TS Plant,8723,8790-8723,337035,Diamond cutter DC 180-S 230V,Z001,3756,1,300024340384,2008-06-12,0,10,PC,8790/337035,8750/337035
8750,8790,Hilti TS Plant,8723,8790-8723,337035,Diamond cutter DC 180-S 230V,Z001,3049,1,300025038003,2008-08-11,0,10,PC,8790/337035,8750/337035
8750,8790,Hilti TS Plant,8723,8790-8723,337035,Diamond cutter DC 180-S 230V,Z001,647,1,300025038002,2008-08-11,0,10,PC,8790/337035,8750/337035
8750,8790,Hilti TS Plant,8723,8790-8723,337035,Diamond cutter DC 180-S 230V,Z001,322,1,300025038001,2008-08-11,0,10,PC,8790/337035,8750/337035
8750,8790,Hilti TS Plant,8723,8790-8723,337035,Diamond cutter DC 180-S 230V,Z001,221,1,300025038000,2008-08-11,0,10,PC,8790/337035,8750/337035
8750,8790,Hilti TS Plant,8723,8790-8723,337035,Diamond cutter DC 180-S 230V,Z001,120,1,300024340383,2008-08-11,0,10,PC,8790/337035,8750/337035
8750,8790,Hilti TS Plant,8723,8790-8723,355438,Rotary hammer TE 1 220V case,Z001,116205,1,300038840768,2012-03-05,0,1,PC,8790/355438,8750/355438
8750,8790,Hilti TS Plant,8723,8790-8723,360383,Battery pack B 22/2.6 Li-Ion,Z001,7069536,1,300040051039,2012-08-09,0,1,PC,8790/360383,8750/360383
8750,8790,Hilti TS Plant,8723,8790-8723,365944,Dust removal system TE DRS-B case,Z001,90088,1,300070850998,2019-06-06,0,1,PC,8790/365944,8750/365944
8750,8790,Hilti TS Plant,8723,8790-8723,376118,Angle grinder AG 230-S 230V EU box,Z001,120,1,300008996401,2008-07-18,0,1,PC,8790/376118,8750/376118
8750,8790,Hilti TS Plant,8723,8790-8723,377616,Powder-actuated tool DX 351 BT G,Z001,260451,1,300080338440,2022-03-30,2,3,PC,8790/377616,8750/377616
8750,8790,Hilti TS Plant,8723,8790-8723,377616,Powder-actuated tool DX 351 BT G,Z001,260452,1,300080338441,2022-03-30,2,3,PC,8790/377616,8750/377616
