Material|Material_Description|SLoc|SL|Plnt|BUn|Unrestricted|Transit_Transf|Blocked|In_Qual_Insp|Restricted_Use|Returns|Stk_in_Transit|Sorg|key_material
26010|Piston pin|50.0|nan|8326|PC|4.0|0|0|0|0|0|0|8300|8300/26010
26010|Piston pin|2500.0|nan|8335|PC|7.0|0|0|0|0|0|0|8300|8300/26010
26010|Piston pin|2500.0|nan|8678|PC|5.0|0|0|0|0|0|0|8650|8650/26010
26010|Piston pin|2500.0|nan|8770|PC|5.0|0|0|0|0|0|0|8750|8750/26010
26195|Gre. Turmogrease ALN1001/00 (1kg)|8000.0|nan|8335|PC|4.0|0|0|0|0|0|0|8300|8300/26195
26195|Gre. Turmogrease ALN1001/00 (1kg)|8000.0|nan|8678|PC|6.0|0|0|0|0|0|0|8650|8650/26195
26195|Gre. Turmogrease ALN1001/00 (1kg)|8000.0|nan|8770|PC|1.0|0|0|0|0|0|0|8750|8750/26195
26227|Torx-soc csk head scr M5X12 mc|4500.0|nan|3070|PC|15.0|0|0|0|0|0|0|3000|3000/26227
26227|Torx-soc csk head scr M5X12 mc|4500.0|nan|8678|PC|9.0|0|0|0|0|0|0|8650|8650/26227
26247|O-ring 58X2|2500.0|nan|3070|PC|20.0|0|0|0|0|0|0|3000|3000/26247
26247|O-ring 58X2|4500.0|nan|3070|PC|2.0|0|0|0|0|0|0|3000|3000/26247
26247|O-ring 58X2|50.0|nan|8326|PC|4.0|0|0|0|0|0|0|8300|8300/26247
26247|O-ring 58X2|2500.0|nan|8335|PC|5.0|0|0|0|0|0|0|8300|8300/26247
26247|O-ring 58X2|2500.0|nan|8678|PC|2.0|0|0|0|0|0|0|8650|8650/26247
26247|O-ring 58X2|4500.0|nan|8678|PC|3.0|0|0|0|0|0|0|8650|8650/26247
