13.09.2024                                                                 Dynamic List Display                                                                                                                           1


	POrg	Plnt	SLoc	Material	Type	Doc. Date	Supplier	Pur. Doc.	Quantity	OUn	Quantity	SKU	PGr	     Net Price	Crcy	    Per	  To be del.	       To be del.	  To be inv.	       To be inv.
	8300	8330	0001	2238428	NB	13.09.2024	9999       HILTI	4537360366	     73	PC	     73	PC	L11	        33,71	USD	     1	         73	        2.460,83	          0	            0,00
	8300	8330	0001	2241678	NB	13.09.2024	9999       HILTI	4537360367	     36	PC	     36	PC	L11	         6,46	USD	   100	         36	            2,33	          0	            0,00
	8300	8330	0001	2262104	NB	13.09.2024	9999       HILTI	4537360368	    658	PC	    658	PC	L11	        42,73	USD	   100	        658	          281,16	          0	            0,00
	8300	8330	0001	2264520	NB	13.09.2024	9999       HILTI	4537360369	    264	PC	    264	PC	L11	        41,97	USD	    10	        264	        1.108,01	          0	            0,00
	8300	8330	0001	2203546	NB	13.09.2024	9999       HILTI	4537360371	    504	PC	    504	PC	L11	        31,47	USD	   100	        504	          158,61	          0	            0,00
	8300	8330	0001	2262104	NB	13.09.2024	9999       HILTI	4537360372	    504	PC	    504	PC	L11	        42,73	USD	   100	        504	          215,36	          0	            0,00
	8300	8330	0001	2264520	NB	13.09.2024	9999       HILTI	4537360373	    252	PC	    252	PC	L11	        41,97	USD	    10	        252	        1.057,64	          0	            0,00
	8300	8330	0001	2203546	NB	13.09.2024	9999       HILTI	4537360374	    168	PC	    168	PC	L11	        31,47	USD	   100	        168	           52,87	          0	            0,00
	8300	8330	0001	2205246	NB	13.09.2024	9999       HILTI	4537360375	    200	PC	    200	PC	L11	         8,09	USD	    10	        200	          161,80	          0	            0,00
	8300	8330	0001	2262104	NB	13.09.2024	9999       HILTI	4537360376	    168	PC	    168	PC	L11	        42,73	USD	   100	        168	           71,79	          0	            0,00
	8300	8330	0001	2264520	NB	13.09.2024	9999       HILTI	4537360377	     84	PC	     84	PC	L11	        41,97	USD	    10	         84	          352,55	          0	            0,00
	8300	8330	0001	2264813	NB	13.09.2024	9999       HILTI	4537360378	     84	PC	     84	PC	L11	        12,63	USD	     1	         84	        1.060,92	          0	            0,00
	8300	8330	0001	2287444	NB	13.09.2024	9999       HILTI	4537360379	    100	PC	    100	PC	L11	       157,08	USD	    10	        100	        1.570,80	          0	            0,00
	8300	8330	0001	2216396	NB	13.09.2024	9999       HILTI	4537360380	    100	PC	    100	PC	L11	        21,36	USD	   100	        100	           21,36	          0	            0,00
	8300	8330	0001	2226734	NB	13.09.2024	9999       HILTI	4537360381	     15	PC	     15	PC	L11	        12,20	USD	     1	         15	          183,00	          0	            0,00
	8300	8330	0001	2226739	NB	13.09.2024	9999       HILTI	4537360382	     35	PC	     35	PC	L11	        18,43	USD	     1	         35	          645,05	          0	            0,00
	8650	8650	0001	2334277	NB	13.09.2024	9999       HILTI	4537363093	    480	PC	    480	PC	CL1	      207.524	CLP	    10	        480	       9.961.152	          0	               0
	8650	8650	0001	2334277	NB	13.09.2024	9999       HILTI	4537363094	    480	PC	    480	PC	CL1	      207.524	CLP	    10	        480	       9.961.152	          0	               0
	8650	8650	0001	2031400	NB	13.09.2024	9999       HILTI	4537363095	    480	PC	    480	PC	CL1	        9.113	CLP	     1	        480	       4.374.240	          0	               0
	8650	8650	0001	2334277	NB	13.09.2024	9999       HILTI	4537363096	    480	PC	    480	PC	CL1	      207.524	CLP	    10	        480	       9.961.152	          0	               0
	8650	8650	0001	2334277	NB	13.09.2024	9999       HILTI	4537363097	    480	PC	    480	PC	CL1	      207.524	CLP	    10	        480	       9.961.152	          0	               0
	8650	8650	0001	2123404	NB	13.09.2024	9999       HILTI	4537363098	    480	PC	    480	PC	CL1	       20.195	CLP	     1	        480	       9.693.600	          0	               0
	8650	8650	0001	2123404	NB	13.09.2024	9999       HILTI	4537363099	    480	PC	    480	PC	CL1	       20.195	CLP	     1	        480	       9.693.600	          0	               0
	8650	8650	0001	2123404	NB	13.09.2024	9999       HILTI	4537363100	    480	PC	    480	PC	CL1	       20.195	CLP	     1	        480	       9.693.600	          0	               0
	8650	8650	0001	2123404	NB	13.09.2024	9999       HILTI	4537363101	    480	PC	    480	PC	CL1	       20.195	CLP	     1	        480	       9.693.600	          0	               0
	8650	8650	0001	2123404	NB	13.09.2024	9999       HILTI	4537363102	    480	PC	    480	PC	CL1	       20.195	CLP	     1	        480	       9.693.600	          0	               0
